cycle,gender,race_ethnicity,prevalence_pct,n_unweighted,n_cases,weighted_pop,outcome,midyear
2007-2008,Female,Other Hispanic,2.251384250059859,369.0,10.0,504284.6178570909,Heart Attack (MI),2007.5
2007-2008,Male,Mexican American,1.7585594297858398,498.0,16.0,873731.3215902727,Heart Attack (MI),2007.5
2007-2008,Male,Non-Hispanic Black,3.844854599780465,588.0,26.0,979866.2669292728,Heart Attack (MI),2007.5
2007-2008,Male,Non-Hispanic White,4.6988370159874355,1391.0,119.0,6492280.465608364,Heart Attack (MI),2007.5
2007-2008,Male,Other Hispanic,3.182185508218003,296.0,15.0,451760.90737472725,Heart Attack (MI),2007.5
2009-2010,Female,Mexican American,1.8023234684961094,584.0,15.0,801111.5582150909,Heart Attack (MI),2009.5
2009-2010,Female,Non-Hispanic Black,2.429991686288805,569.0,17.0,1256349.2040729092,Heart Attack (MI),2009.5
2009-2010,Female,Non-Hispanic White,1.9162814926875844,1517.0,40.0,6950735.479981,Heart Attack (MI),2009.5
2009-2010,Female,Other Hispanic,0.3770910455367035,348.0,2.0,508556.07594172726,Heart Attack (MI),2009.5
2009-2010,Male,Mexican American,2.565660433442461,547.0,21.0,899910.4856927273,Heart Attack (MI),2009.5
2009-2010,Male,Non-Hispanic Black,3.581312378205079,553.0,25.0,1011698.4583322727,Heart Attack (MI),2009.5
2009-2010,Male,Non-Hispanic White,5.511369731248659,1455.0,123.0,6560357.661986273,Heart Attack (MI),2009.5
2009-2010,Male,Other Hispanic,2.280704516257641,282.0,10.0,490781.07057118183,Heart Attack (MI),2009.5
2011-2012,Female,Mexican American,1.5922774672902382,255.0,6.0,755787.1404974544,Heart Attack (MI),2011.5
2011-2012,Female,Non-Hispanic Asian,0.4208717237581235,405.0,2.0,570664.1037168182,Heart Attack (MI),2011.5
2011-2012,Female,Non-Hispanic Black,2.0534309122484196,756.0,20.0,1304901.846567091,Heart Attack (MI),2011.5
2011-2012,Female,Non-Hispanic White,3.0014472465545317,1016.0,43.0,6995220.508606909,Heart Attack (MI),2011.5
2011-2012,Female,Other Hispanic,2.0813734649523914,316.0,9.0,705493.8594802727,Heart Attack (MI),2011.5
2011-2012,Female,Other/Multiracial,0.0,70.0,0.0,260749.89732790913,Heart Attack (MI),2011.5
2011-2012,Male,Mexican American,1.2547896271972514,285.0,6.0,817120.5715315455,Heart Attack (MI),2011.5
2011-2012,Male,Non-Hispanic Asian,1.8973355066731923,387.0,9.0,491168.9262051818,Heart Attack (MI),2011.5
2011-2012,Male,Non-Hispanic Black,2.543115224592335,698.0,23.0,1035312.6953628182,Heart Attack (MI),2011.5
2011-2012,Male,Non-Hispanic White,4.472026246624772,1022.0,63.0,6528091.18502891,Heart Attack (MI),2011.5
2011-2012,Male,Other Hispanic,3.046962592904742,260.0,15.0,627747.8872266363,Heart Attack (MI),2011.5
2011-2012,Male,Other/Multiracial,9.864930833811503,82.0,7.0,259389.880153,Heart Attack (MI),2011.5
2013-2014,Female,Mexican American,1.7183911147538486,389.0,8.0,914570.2089838181,Heart Attack (MI),2013.5
2013-2014,Female,Non-Hispanic Asian,0.908708951416881,346.0,3.0,605719.465568,Heart Attack (MI),2013.5
2013-2014,Female,Non-Hispanic Black,2.123058042327219,596.0,15.0,1313592.4891869999,Heart Attack (MI),2013.5
2013-2014,Female,Non-Hispanic White,2.9696048983178334,1295.0,51.0,7098868.425283727,Heart Attack (MI),2013.5
2013-2014,Female,Other Hispanic,1.388638948765818,289.0,5.0,624155.1546225455,Heart Attack (MI),2013.5
2013-2014,Female,Other/Multiracial,4.614166398231042,94.0,5.0,260317.91425809092,Heart Attack (MI),2013.5
2013-2014,Male,Mexican American,2.5432756186410104,378.0,14.0,992917.7204068182,Heart Attack (MI),2013.5
2013-2014,Male,Non-Hispanic Asian,2.6968487627395077,321.0,9.0,508903.2380640909,Heart Attack (MI),2013.5
2013-2014,Male,Non-Hispanic Black,3.3971792001476553,580.0,31.0,1067060.5692234545,Heart Attack (MI),2013.5
2013-2014,Male,Non-Hispanic White,4.9611005244033075,1175.0,82.0,6607698.469685273,Heart Attack (MI),2013.5
2013-2014,Male,Other Hispanic,0.7073323377903822,219.0,4.0,533098.7341122727,Heart Attack (MI),2013.5
2013-2014,Male,Other/Multiracial,2.8096111964488806,84.0,3.0,297862.69543872727,Heart Attack (MI),2013.5
2015-2016,Female,Mexican American,0.8425984411293354,535.0,7.0,949129.4608647272,Heart Attack (MI),2015.5
2015-2016,Female,Non-Hispanic Asian,1.119064967147735,352.0,4.0,661114.0314060908,Heart Attack (MI),2015.5
2015-2016,Female,Non-Hispanic Black,2.2633891532995847,635.0,17.0,1346574.5184635455,Heart Attack (MI),2015.5
2015-2016,Female,Non-Hispanic White,2.5391707666032297,915.0,37.0,7013951.967546999,Heart Attack (MI),2015.5
2015-2016,Female,Other Hispanic,3.0184193049592833,433.0,19.0,694516.3748038182,Heart Attack (MI),2015.5
2015-2016,Female,Other/Multiracial,7.818131396138802,97.0,6.0,396425.75548327266,Heart Attack (MI),2015.5
2015-2016,Male,Mexican American,2.3360780907244894,459.0,24.0,939863.7529671818,Heart Attack (MI),2015.5
2015-2016,Male,Non-Hispanic Asian,1.8203148088581338,338.0,6.0,578250.5053699091,Heart Attack (MI),2015.5
2015-2016,Male,Non-Hispanic Black,3.952940421457329,562.0,29.0,1072319.9920494545,Heart Attack (MI),2015.5
2015-2016,Male,Non-Hispanic White,4.892900990743365,943.0,73.0,6586825.484526,Heart Attack (MI),2015.5
2015-2016,Male,Other Hispanic,2.8357424444015398,334.0,21.0,671369.7015443635,Heart Attack (MI),2015.5
2015-2016,Male,Other/Multiracial,8.268292330530926,107.0,8.0,389786.7136965454,Heart Attack (MI),2015.5
2017-2018,Female,Mexican American,1.1220150595973333,380.0,9.0,913518.559994335,Heart Attack (MI),2017.5
2017-2018,Female,Non-Hispanic Asian,0.2734448037295357,435.0,2.0,694567.9589284855,Heart Attack (MI),2017.5
